train/n_updates,train/value_loss,time/time_elapsed,train/std,time/iterations,time/total_timesteps,train/explained_variance,train/entropy_loss,time/fps,train/policy_loss,train/learning_rate,rollout/ep_len_mean,rollout/ep_rew_mean
12899,0.385200560092926,369,0.5813263654708862,12900,103200,0.6191354691982269,-3.461235284805298,279,1.744373083114624,0.00096,432.77,-83.57420503999998
12999,0.1018623635172844,372,0.5808111429214478,13000,104000,-6.040975570678711,-3.460991621017456,279,0.10836774110794067,0.00096,432.77,-83.57420503999998
13099,0.13120001554489136,375,0.5741444826126099,13100,104800,-2.4603395462036133,-3.4147286415100098,279,0.9882198572158813,0.00096,432.77,-80.57945454
13199,7.688525199890137,378,0.5741685628890991,13200,105600,0.012811243534088135,-3.409891128540039,279,-7.932106971740723,0.00096,405.56,-80.21032575999999
13299,0.21326030790805817,380,0.5717376470565796,13300,106400,0.14758658409118652,-3.400430202484131,279,0.8894139528274536,0.00096,398.08,-79.58811723
13399,2534.875,383,0.5763746500015259,13400,107200,-0.009292960166931152,-3.427734375,279,-101.83372497558594,0.00096,344.14,-81.60202093
13499,0.036585353314876556,386,0.5728158950805664,13500,108000,0.08223438262939453,-3.4030838012695312,279,-0.5441529154777527,0.00096,245.45,-88.51920806999999
13599,5.874492645263672,389,0.5745121836662292,13600,108800,-4.798205852508545,-3.41304612159729,279,6.200605392456055,0.00096,238.74,-88.56706976000001
13699,0.3181871473789215,392,0.5761800408363342,13700,109600,-17.457365036010742,-3.42264461517334,279,-1.722900152206421,0.00096,238.74,-88.56706976000001
13799,1.2821722030639648,395,0.5762627124786377,13800,110400,-1.4149456024169922,-3.4235239028930664,279,-0.8179145455360413,0.00096,253.33,-87.69651654
13899,0.0019211088074371219,398,0.5733304023742676,13900,111200,0.00011497735977172852,-3.398303985595703,279,0.20998001098632812,0.00096,253.33,-87.69651654
13999,0.12033279240131378,401,0.5678697824478149,14000,112000,-5.747858047485352,-3.358227014541626,279,-1.1513056755065918,0.00096,266.66,-87.91591581
14099,0.0008851771126501262,404,0.5650979280471802,14100,112800,0.0029084086418151855,-3.3343262672424316,279,0.004164854995906353,0.00096,249.82,-88.57875350000002
14199,0.0008837305940687656,406,0.551415741443634,14200,113600,0.14635342359542847,-3.233846664428711,279,0.07328858226537704,0.00096,249.82,-88.57875350000002
14299,0.03161565214395523,409,0.5402033925056458,14300,114400,-5.458223819732666,-3.142244815826416,279,-0.5107849836349487,0.00096,247.19,-89.93024286000004
14399,0.021706830710172653,411,0.5249484777450562,14400,115200,-1.5367820262908936,-3.0245046615600586,279,-0.4566647410392761,0.00096,247.19,-89.93024286000004
14499,0.002509659854695201,414,0.5138344168663025,14500,116000,-0.05004560947418213,-2.931413412094116,280,0.0114474818110466,0.00096,262.37,-89.98677516000004
14599,0.0005206054775044322,416,0.49953800439834595,14600,116800,-0.2110382318496704,-2.8120360374450684,280,0.010349723510444164,0.00096,262.37,-89.98677516000004
14699,0.0006131313857622445,419,0.4904801845550537,14700,117600,0.1513867974281311,-2.7387001514434814,280,-0.056688904762268066,0.00096,277.6,-89.96285366000004
14799,0.000547741714399308,421,0.483590692281723,14800,118400,-0.5356742143630981,-2.6731557846069336,280,0.009690645150840282,0.00096,277.6,-89.96285366000004
14899,0.0007582835969515145,423,0.4712258577346802,14900,119200,-0.37969231605529785,-2.56209397315979,281,-0.05494607239961624,0.00096,277.56,-91.31685784
